Plot	Sample	SampDate	tinwght	mstsoil1011g	tinsoilOD24h	Gravmois	Imputed	Gravmois_percentage
12	1	2017-07-05 00:00:00.000	1.02	6.26	6	5.22	0	0.052208835
12	1	2017-07-14 00:00:00.000	0.99	6.27	5.98	5.81	0	0.058116232
12	1	2017-07-20 00:00:00.000	0.99	6.16	5.71	9.53	0	0.095338983
12	1	2017-08-10 00:00:00.000	0.99	6.65	5.77	18.41	0	0.184100418
12	2	2017-07-05 00:00:00.000	0.99	6.17	5.82	7.25	0	0.072463768
12	2	2017-07-14 00:00:00.000	1	6.96	6.7	4.56	0	0.045614035
12	2	2017-07-20 00:00:00.000	1.03	6.38	5.92	9.41	0	0.09406953
12	2	2017-08-10 00:00:00.000	1.02	6.61	5.71	19.19	0	0.191897655
12	3	2017-07-05 00:00:00.000	1.02	6.58	6.22	6.92	0	0.069230769
12	3	2017-07-14 00:00:00.000	0.98	6.68	6.25	8.16	0	0.081593928
12	3	2017-07-20 00:00:00.000	1.02	6.28	5.8	10.04	0	0.10041841
12	3	2017-08-10 00:00:00.000	1	6.42	5.73	14.59	0	0.145877378
12	4	2017-07-05 00:00:00.000	1	6.04	5.72	6.78	0	0.06779661
12	4	2017-07-14 00:00:00.000	1.03	6.89	6.48	7.52	0	0.075229358
12	4	2017-07-20 00:00:00.000	1.02	6.21	5.78	9.03	0	0.090336134
12	4	2017-08-10 00:00:00.000	1.02	6.79	5.87	18.97	0	0.189690722
12	5	2017-07-05 00:00:00.000	1.01	6.08	5.8	5.85	0	0.058455115
12	5	2017-07-14 00:00:00.000	1.01	6.21	5.85	7.44	0	0.074380165
12	5	2017-07-20 00:00:00.000	1.02	6.34	5.81	11.06	0	0.110647182
12	5	2017-08-10 00:00:00.000	1.01	6.33	5.47	19.28	0	0.192825112
